phase=Replace__BothReleased
group=subj11
mode=corr m=4 pca_r=3 pc=3 lag_ms=150
epoch_len_s=2.0 fs=500
files=8 cycles_total=238 windows_total=1190
config={'fs': 500, 'maxlag_ms': 1000, 'lag_step_ms': 2, 'm': 10, 'subtract_marginals': True, 'ar_order': 10, 'ema_half_life_s': 1.0, 'student_nu': 10, 'pca_var_thresh': 0.9, 'pca_max_r': 4}

001. Pz -> Cz : 0.055389
002. Cz -> Pz : 0.052858
003. T7 -> Fp1 : -0.051540
004. Cz -> Fp2 : 0.048975
005. CP1 -> CP2 : -0.046463
006. PO9 -> Fp1 : 0.045620
007. PO10 -> F4 : -0.038870
008. Cz -> Fp1 : 0.037510
009. Fp2 -> TP9 : -0.037313
010. TP10 -> Fp1 : 0.037085
011. CP2 -> CP1 : -0.036553
012. F4 -> PO10 : -0.036445
013. Fp1 -> PO9 : 0.035681
014. CP1 -> Fp2 : 0.035334
015. P7 -> Fz : -0.035334
016. P3 -> Fp2 : -0.035121
017. P7 -> F3 : -0.034182
018. Cz -> CP2 : -0.033968
019. Fp2 -> PO9 : 0.032808
020. Cz -> FC2 : -0.032319
021. P8 -> Fz : -0.032039
022. Fp2 -> F4 : 0.031708
023. F4 -> PO9 : -0.031530
024. F4 -> O1 : 0.030898
025. Fp1 -> Fp2 : -0.030499
026. P7 -> F4 : -0.030106
027. PO9 -> Fp2 : 0.029813
028. Fp2 -> Fp1 : -0.029753
029. Oz -> F4 : -0.029739
030. CP1 -> P7 : -0.029534
031. FC1 -> Fp2 : 0.029435
032. Fp2 -> P3 : -0.029309
033. F4 -> P7 : -0.029191
034. P7 -> CP2 : -0.028883
035. PO10 -> Fp2 : -0.028474
036. PO10 -> Fz : -0.028330
037. F4 -> Oz : -0.028279
038. C4 -> Fz : -0.027960
039. CP1 -> F3 : 0.027895
040. Cz -> O1 : 0.027882
