config_id,topk,min_subjects_param,p0_inflate,p0_effective,use_fdr,alpha,phase,pc,lag_ms,src,dst,region_src,region_dst,k,n_subjects,total_subjects_in_dir,p_value,q_value,significant
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,PO9,O1,Occipital,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,PO10,O2,Occipital,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,FC5,F7,Frontocentral,Other,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,F3,Fp1,Frontocentral,Frontal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,0,P4,Fp1,Parietal,Frontal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,CP1,Cz,Parietal,Frontocentral,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,Pz,CP2,Parietal,Parietal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,Pz,CP1,Parietal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,50,CP2,Cz,Parietal,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,100,Pz,CP2,Parietal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,150,Fz,FC1,Frontal,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,150,Fp1,Pz,Frontal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,150,Fp2,Pz,Frontal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,Pz,CP1,Parietal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,F8,FC6,Other,Frontocentral,6,12,12,2.0768421372728914e-07,2.9491158349275056e-06,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,TP10,T8,Temporal,Temporal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,F7,FC5,Other,Frontocentral,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,Fp2,F4,Frontal,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc1,200,Pz,CP2,Parietal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,0,FC1,Fp1,Frontocentral,Frontal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,50,Fp2,Fp1,Frontal,Frontal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,50,CP5,P7,Parietal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,50,O1,Oz,Occipital,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,100,Fp1,F7,Frontal,Other,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,150,Fp2,CP5,Frontal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,150,Fp2,F4,Frontal,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,Fp1,F3,Frontal,Frontocentral,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,Fp2,CP5,Frontal,Parietal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,Fp1,CP5,Frontal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,Fp2,Fp1,Frontal,Frontal,6,12,12,2.0768421372728914e-07,2.9491158349275056e-06,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,Fp2,F4,Frontal,Frontocentral,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc2,200,Fp1,Fp2,Frontal,Frontal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,0,O1,PO9,Occipital,Occipital,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,0,Fp1,F7,Frontal,Other,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,0,Fp2,F7,Frontal,Other,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,0,Fp2,F4,Frontal,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,0,TP10,PO10,Temporal,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,0,O2,PO10,Occipital,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,P8,PO10,Parietal,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,TP10,PO10,Temporal,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,Fp2,Fp1,Frontal,Frontal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,50,O2,PO10,Occipital,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,100,Fp2,F7,Frontal,Other,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,100,Fp1,F8,Frontal,Other,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,100,Fp2,Fp1,Frontal,Frontal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,BothStartLoadPhase__LiftOff,pc3,200,TP9,PO9,Temporal,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,0,PO10,O2,Occipital,Occipital,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,0,FC5,F7,Frontocentral,Other,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,0,F3,Fp1,Frontocentral,Frontal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,50,Pz,CP2,Parietal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,50,Pz,CP1,Parietal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,50,CP1,Cz,Parietal,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,100,F8,FC6,Other,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,100,Pz,CP2,Parietal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,150,Fp2,Pz,Frontal,Parietal,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,150,F7,FC5,Other,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,200,F8,FC6,Other,Frontocentral,6,12,12,2.0768421372728914e-07,2.9491158349275056e-06,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,200,TP10,T8,Temporal,Temporal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,200,F7,FC5,Other,Frontocentral,7,12,12,4.5744495591486245e-09,1.39193965156951e-07,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,200,CP1,Cz,Parietal,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc1,200,Fp2,F4,Frontal,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc2,0,F7,FC5,Other,Frontocentral,3,12,12,0.002968335608119265,0.002968335608119265,True
cfg001_topk5_min3_p0x5,5,3,5.0,0.025201612903225805,True,0.05,FirstDigitTouch__BothStartLoadPhase,pc2,0,FC1,Fp1,Frontocentral,Frontal,4,12,12,0.00016973510588022393,0.0005021330215623292,True
